epoch,train/box_loss,metrics/precision,metrics/recall,metrics/mAP50,metrics/mAP50-95
1,1.463005467365853,0.2135303020477295,0.3630821406841278,0.2135303020477295,0.13311529159545898
2,1.154333818924757,0.30243051052093506,0.46167445182800293,0.30243051052093506,0.19439451396465302
3,1.0621731224738562,0.4058094620704651,0.5045398473739624,0.4058094620704651,0.24688087403774261
4,0.9890794011915154,0.41133424639701843,0.512910783290863,0.41133424639701843,0.25073617696762085
5,0.9390923835543304,0.4469269812107086,0.5266124606132507,0.4469269812107086,0.27655029296875
6,0.861716904659045,0.48337531089782715,0.5248425006866455,0.48337531089782715,0.2854968011379242
7,0.8777982031874977,0.5000483393669128,0.5221621990203857,0.5000483393669128,0.30843183398246765
8,0.8117891831595907,0.4676857590675354,0.469583123922348,0.4676857590675354,0.27850785851478577
9,0.7570546334204467,0.47642019391059875,0.49471524357795715,0.47642019391059875,0.29560738801956177
10,0.7260258917516399,0.5031221508979797,0.5323576927185059,0.5031221508979797,0.30920130014419556
11,0.6901551686492362,0.49223122000694275,0.4951900839805603,0.49223122000694275,0.295943945646286
12,0.6227579705799993,0.48182782530784607,0.4856698215007782,0.48182782530784607,0.2959079146385193
13,0.6350460228005887,0.5107576251029968,0.5096986293792725,0.5107576251029968,0.31714382767677307
14,0.5755403441167161,0.5188437104225159,0.4963083863258362,0.5188437104225159,0.3362081050872803
15,0.5768777812893683,0.5278851985931396,0.5076186060905457,0.5278851985931396,0.3255123198032379
